Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Bryan London,bryan-london-1,/cfb/players/bryan-london-1.html,LB,12,48,43,91,3.0,0.0,0,0,0,5,0,0,0,2,,Texas State,2017
Gabe Loyd,gabe-loyd-1,/cfb/players/gabe-loyd-1.html,LB,12,49,34,83,10.0,4.5,0,0,0,3,0,0,0,2,,Texas State,2017
A.J. Krawczyk,aj-krawczyk-1,/cfb/players/aj-krawczyk-1.html,S,12,55,19,74,0.0,0.0,0,0,0,1,1,39,0,2,,Texas State,2017
Frankie Griffin,frankie-griffin-1,/cfb/players/frankie-griffin-1.html,LB,12,51,23,74,11.5,4.0,0,0,0,3,2,21,0,2,,Texas State,2017
Jashon Waddy,jashon-waddy-1,/cfb/players/jashon-waddy-1.html,CB,12,42,13,55,1.0,0.0,0,0,0,5,0,0,0,1,,Texas State,2017
Jordan Mittie,jordan-mittie-1,/cfb/players/jordan-mittie-1.html,DT,12,30,22,52,5.5,3.5,0,0,0,2,0,0,0,0,,Texas State,2017
Hal Vinson,hal-vinson-1,/cfb/players/hal-vinson-1.html,LB,11,23,17,40,5.0,2.5,0,0,0,0,1,0,0,0,,Texas State,2017
Easy Anyama,easy-anyama-1,/cfb/players/easy-anyama-1.html,LB,11,27,12,39,6.5,4.0,0,0,0,3,0,0,0,1,,Texas State,2017
Anthony J. Taylor,anthony-taylor-8,/cfb/players/anthony-taylor-8.html,CB,9,22,14,36,0.0,0.0,0,0,0,5,0,0,0,0,,Texas State,2017
Nikolas Daniels,nikolas-daniels-1,/cfb/players/nikolas-daniels-1.html,LB,11,21,14,35,1.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Stephan Johnson,stephan-johnson-1,/cfb/players/stephan-johnson-1.html,S,10,24,10,34,2.0,0.0,0,0,0,3,0,0,0,1,,Texas State,2017
Dila Rosemond,dila-rosemond-1,/cfb/players/dila-rosemond-1.html,S,5,23,9,32,1.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Caeveon Patton,caeveon-patton-1,/cfb/players/caeveon-patton-1.html,DT,9,14,12,26,2.0,1.0,0,0,0,2,1,0,0,0,,Texas State,2017
Kordell Rodgers,kordell-rodgers-1,/cfb/players/kordell-rodgers-1.html,CB,11,20,5,25,0.5,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Gavin Graham,gavin-graham-1,/cfb/players/gavin-graham-1.html,LB,12,12,10,22,1.0,1.0,0,0,0,2,0,0,0,1,,Texas State,2017
Ishmael Davis,ishmael-davis-1,/cfb/players/ishmael-davis-1.html,DE,4,10,9,19,1.5,0.0,0,0,0,0,1,0,0,0,,Texas State,2017
Dean Taylor,dean-taylor-2,/cfb/players/dean-taylor-2.html,DE,9,8,9,17,1.0,0.5,0,0,0,0,0,0,0,0,,Texas State,2017
Sami Awad,sami-awad-1,/cfb/players/sami-awad-1.html,NT,12,7,9,16,0.5,0.5,0,0,0,0,1,0,0,0,,Texas State,2017
Quinn Tiggs,quinn-tiggs-1,/cfb/players/quinn-tiggs-1.html,S,7,8,3,11,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Andrew Aneke,andrew-aneke-1,/cfb/players/andrew-aneke-1.html,CB,5,9,2,11,0.0,0.0,0,0,0,2,0,0,0,0,,Texas State,2017
Clifton Lewis,clifton-lewis-1,/cfb/players/clifton-lewis-1.html,LB,10,7,4,11,1.5,1.0,0,0,0,0,0,0,0,0,,Texas State,2017
Greg Peace,greg-peace-1,/cfb/players/greg-peace-1.html,CB,11,7,2,9,0.0,0.0,0,0,0,1,0,0,0,0,,Texas State,2017
John Brannon,john-brannon-1,/cfb/players/john-brannon-1.html,LB,8,5,4,9,0.5,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Dennis Johnson Jr.,dennis-johnson-jr-1,/cfb/players/dennis-johnson-jr-1.html,WR,10,6,2,8,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Malik Alley,malik-alley-1,/cfb/players/malik-alley-1.html,LB,11,6,1,7,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Preston Dimery,preston-dimery-1,/cfb/players/preston-dimery-1.html,S,9,3,3,6,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Josh Newman,josh-newman-2,/cfb/players/josh-newman-2.html,S,5,3,3,6,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Kumonde Hines,kumonde-hines-1,/cfb/players/kumonde-hines-1.html,LB,5,3,2,5,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jeff Banks,jeff-banks-2,/cfb/players/jeff-banks-2.html,DE,4,3,2,5,1.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Hutch White,hutch-white-1,/cfb/players/hutch-white-1.html,WR,12,3,2,5,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Gjemar Daniels,gjemar-daniels-1,/cfb/players/gjemar-daniels-1.html,NT,2,2,2,4,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Tommy Simmons,tommy-simmons-2,/cfb/players/tommy-simmons-2.html,LS,5,2,1,3,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Eric Luna,eric-luna-1,/cfb/players/eric-luna-1.html,WR,8,1,2,3,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jaquel Pierce,jaquel-pierce-1,/cfb/players/jaquel-pierce-1.html,G,10,1,2,3,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Robert Brown,robert-brown-1,/cfb/players/robert-brown-1.html,RB,12,2,1,3,0.0,0.0,0,0,0,0,1,0,0,0,,Texas State,2017
Anthony Taylor,anthony-taylor-7,/cfb/players/anthony-taylor-7.html,RB,12,2,1,3,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Grant Lanza,grant-lanza-1,/cfb/players/grant-lanza-1.html,DT,8,1,2,3,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
John Lilly,john-lilly-1,/cfb/players/john-lilly-1.html,NT,4,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Tyler Robinson,tyler-robinson-2,/cfb/players/tyler-robinson-2.html,CB,2,2,0,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Gabe Schrade,gabe-schrade-1,/cfb/players/gabe-schrade-1.html,TE,12,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Mason Hays,mason-hays-1,/cfb/players/mason-hays-1.html,WR,4,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Aaron Brewer,aaron-brewer-2,/cfb/players/aaron-brewer-2.html,C,12,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jordan Eastling,jordan-eastling-1,/cfb/players/jordan-eastling-1.html,CB,7,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Markeveon Coleman,markeveon-coleman-1,/cfb/players/markeveon-coleman-1.html,LB,6,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Nic Foster,nic-foster-1,/cfb/players/nic-foster-1.html,T,10,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Marcus Ripley,marcus-ripley-1,/cfb/players/marcus-ripley-1.html,K,12,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Hunter Hebert,hunter-hebert-1,/cfb/players/hunter-hebert-1.html,TE,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Justin Warner,justin-warner-1,/cfb/players/justin-warner-1.html,LS,11,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Reece Jordan,reece-jordan-1,/cfb/players/reece-jordan-1.html,C,9,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Josiah Washington,josiah-washington-1,/cfb/players/josiah-washington-1.html,T,5,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Chris French,chris-french-1,/cfb/players/chris-french-1.html,TE,11,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
Jaylin Nelson,jaylin-nelson-1,/cfb/players/jaylin-nelson-1.html,QB,7,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Texas State,2017
